mac_addr,loc1,loc2,loc3,loc4,loc5,loc6
router1,-44.476190476190474,-55.95238095238095,-53.95454545454545,-76.88888888888889,-65.28571428571429,-71.80952380952381
router2,-69.95238095238095,-56.04761904761905,-63.76190476190476,-83.47368421052632,-76.23809523809524,-85.0952380952381
router3,-91.0,-79.85714285714286,-67.95238095238095,-55.714285714285715,-65.9047619047619,-65.66666666666667
router4,-78.4,-65.33333333333333,-78.31818181818181,-53.904761904761905,-45.38095238095238,-50.61904761904762
router5,-68.66666666666667,-85.5,-88.80952380952381,-71.61904761904762,-77.15,-56.142857142857146
