mac_addr,loc1,loc2,loc3,loc4,loc5,loc6
router1,-44.421052631578945,-55.8421052631579,-53.9,-76.9375,-65.15789473684211,-71.73684210526316
router2,-70.0,-55.94736842105263,-63.89473684210526,-83.52941176470588,-76.3157894736842,-85.15789473684211
router3,-91.0,-79.84210526315789,-68.15789473684211,-55.73684210526316,-65.94736842105263,-65.57894736842105
router4,-78.44444444444444,-65.47368421052632,-78.35,-54.05263157894737,-45.421052631578945,-50.578947368421055
router5,-68.6842105263158,-85.5,-88.78947368421052,-71.57894736842105,-77.16666666666667,-56.1578947368421
