mac_addr,loc1,loc2,loc3,loc4,loc5,loc6
router1,-43.0,-56.0,-54.0,-77.5,-66.0,-72.0
router2,-70.0,-56.0,-64.0,-84.0,-77.0,-85.0
router3,-91.0,-80.0,-70.0,-56.0,-66.0,-66.0
router4,-79.0,-66.0,-79.0,-55.0,-46.0,-50.0
router5,-69.0,-85.5,-89.0,-71.0,-77.0,-56.0
