time,SSID,mac_addr,signal_str
2019-05-10 08:44:26,NTUSECURE,a8:9d:21:3e:3f:f1,-86
2019-05-10 08:44:26,NTUSECURE,a8:9d:21:1d:f1:3e,-48
2019-05-10 08:44:26,NTUSECURE,a8:9d:21:1d:f1:0e,-44
2019-05-10 08:44:26,NTUSECURE,a8:9d:21:3a:82:be,-65
2019-05-10 08:44:26,NTUSECURE,a8:9d:21:1d:f1:01,-45
2019-05-10 08:44:26,NTUSECURE,a8:9d:21:3a:82:b1,-77
2019-05-10 08:44:26,NTUSECURE,a8:9d:21:3c:47:0e,-67
2019-05-10 08:44:26,NTUSECURE,a8:9d:21:3e:3f:fe,-81
2019-05-10 08:44:26,NTUSECURE,74:a2:e6:aa:78:21,-81
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:3e:3f:f1,-86
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:1d:f1:3e,-48
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:1d:f1:0e,-46
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:3a:82:be,-63
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:1d:f1:01,-43
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:3a:82:b1,-77
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:3c:47:0e,-71
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:3e:3f:fe,-81
2019-05-10 08:44:29,NTUSECURE,74:a2:e6:aa:78:21,-84
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:3c:47:01,-71
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:1d:f1:31,-72
2019-05-10 08:44:29,NTUSECURE,a8:9d:21:3c:3c:d1,-89
2019-05-10 08:44:32,NTUSECURE,a8:9d:21:3e:3f:f1,-85
2019-05-10 08:44:32,NTUSECURE,a8:9d:21:1d:f1:3e,-48
2019-05-10 08:44:32,NTUSECURE,a8:9d:21:1d:f1:0e,-46
2019-05-10 08:44:32,NTUSECURE,a8:9d:21:3a:82:be,-66
