time,SSID,mac_addr,signal_str
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:3a:82:be,-52
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:3e:3f:fe,-58
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:3e:3f:f1,-60
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:3a:82:b1,-74
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:1d:f1:3e,-76
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:3c:47:01,-61
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:3c:47:0e,-71
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:25:40:4e,-79
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:25:40:41,-79
2019-05-10 08:26:38,NTUSECURE,a8:9d:21:24:ca:61,-88
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:3a:82:be,-53
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:3e:3f:fe,-59
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:3e:3f:f1,-63
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:3a:82:b1,-66
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:1d:f1:3e,-77
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:3c:47:01,-61
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:3c:47:0e,-70
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:25:40:4e,-79
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:25:40:41,-78
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:24:ca:61,-88
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:1d:f1:31,-88
2019-05-10 08:26:41,NTUSECURE,a8:9d:21:1d:f1:01,-88
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:3a:82:be,-54
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:3e:3f:fe,-58
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:3e:3f:f1,-62
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:3a:82:b1,-69
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:1d:f1:3e,-77
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:3c:47:01,-67
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:3c:47:0e,-69
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:25:40:4e,-79
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:25:40:41,-79
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:24:ca:61,-88
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:1d:f1:31,-88
2019-05-10 08:26:44,NTUSECURE,a8:9d:21:1d:f1:01,-89
2019-05-10 08:26:47,NTUSECURE,a8:9d:21:3a:82:be,-54
2019-05-10 08:26:47,NTUSECURE,a8:9d:21:3e:3f:fe,-60
2019-05-10 08:26:47,NTUSECURE,a8:9d:21:3e:3f:f1,-64
2019-05-10 08:26:47,NTUSECURE,a8:9d:21:3a:82:b1,-66
2019-05-10 08:26:47,NTUSECURE,a8:9d:21:1d:f1:3e,-77
2019-05-10 08:26:47,NTUSECURE,a8:9d:21:3c:47:01,-67
2019-05-10 08:26:47,NTUSECURE,a8:9d:21:3c:47:0e,-68
2019-05-10 08:26:47,NTUSECURE,a8:9d:21:25:40:4e,-79
