time,SSID,mac_addr,signal_str
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:1d:f1:0e,-73
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:1d:f1:3e,-47
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:3a:82:be,-62
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:3c:47:0e,-64
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:3e:3f:f1,-76
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:3e:3f:fe,-72
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:1d:f1:31,-49
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:3c:3c:d1,-82
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:24:ca:61,-86
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:3c:47:01,-62
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:3a:82:b1,-73
2019-05-10 08:33:28,NTUSECURE,a8:9d:21:1d:f1:01,-78
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:1d:f1:0e,-72
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:1d:f1:3e,-46
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:3a:82:be,-66
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:3c:47:0e,-64
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:3e:3f:f1,-75
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:3e:3f:fe,-73
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:1d:f1:31,-49
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:3c:3c:d1,-85
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:24:ca:61,-82
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:3c:47:01,-65
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:3a:82:b1,-70
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:1d:f1:01,-78
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:24:ca:6e,-85
2019-05-10 08:33:31,NTUSECURE,a8:9d:21:25:40:41,-89
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:1d:f1:0e,-73
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:1d:f1:3e,-45
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:3a:82:be,-66
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:3c:47:0e,-62
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:3e:3f:f1,-77
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:3e:3f:fe,-76
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:1d:f1:31,-51
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:3c:3c:d1,-85
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:24:ca:61,-82
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:3c:47:01,-65
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:3a:82:b1,-71
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:1d:f1:01,-79
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:24:ca:6e,-85
2019-05-10 08:33:35,NTUSECURE,a8:9d:21:25:40:41,-89
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:1d:f1:0e,-74
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:1d:f1:3e,-43
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:3a:82:be,-64
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:3c:47:0e,-62
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:3e:3f:f1,-73
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:3e:3f:fe,-76
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:1d:f1:31,-51
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:3c:3c:d1,-85
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:24:ca:61,-84
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:3c:47:01,-67
2019-05-10 08:33:38,NTUSECURE,a8:9d:21:3a:82:b1,-71
