time,SSID,mac_addr,signal_str
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:3e:3f:fe,-73
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:3e:3f:f1,-74
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:3c:47:01,-70
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:3c:47:0e,-67
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:1d:f1:3e,-41
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:1d:f1:0e,-67
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:3a:82:be,-68
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:1d:f1:31,-48
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:3c:3c:d1,-79
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:1d:f1:01,-73
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:3a:82:b1,-76
2019-05-10 08:43:12,NTUSECURE,a8:9d:21:24:ca:61,-89
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:3e:3f:fe,-73
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:3e:3f:f1,-74
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:3c:47:01,-71
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:3c:47:0e,-61
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:1d:f1:3e,-41
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:1d:f1:0e,-67
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:3a:82:be,-68
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:1d:f1:31,-51
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:3c:3c:d1,-81
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:1d:f1:01,-73
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:3a:82:b1,-76
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:24:ca:61,-88
2019-05-10 08:43:16,NTUSECURE,a8:9d:21:3c:3c:de,-83
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:3e:3f:fe,-73
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:3e:3f:f1,-74
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:3c:47:01,-71
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:3c:47:0e,-62
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:1d:f1:3e,-42
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:1d:f1:0e,-69
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:3a:82:be,-64
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:1d:f1:31,-51
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:3c:3c:d1,-81
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:1d:f1:01,-75
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:3a:82:b1,-72
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:24:ca:61,-88
2019-05-10 08:43:19,NTUSECURE,a8:9d:21:3c:3c:de,-83
2019-05-10 08:43:22,NTUSECURE,a8:9d:21:3e:3f:fe,-70
